"","status","family","pval","qval","gene_short_name","trend","cancer_type_num","cancer_type","tls_object"
"MP4..Chromatin","OK","uninormal",0,0,"MP4..Chromatin","High_Low",3,"Breast","IT"
"MP21.Respiration","OK","uninormal",0,0,"MP21.Respiration","Low_High",3,"Breast","IT"
"MP29.NPC.OPC","OK","uninormal",0,0,"MP29.NPC.OPC","High_Low",3,"Breast","IT"
"MP41.Unassigned","OK","uninormal",0,0,"MP41.Unassigned","High_Low",3,"Breast","IT"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","OK","uninormal",0,0,"HALLMARK_IL6_JAK_STAT3_SIGNALING","High_Low",3,"Breast","IT"
"MP35.Hemato.related.I","OK","uninormal",3.95252516672997e-322,7.05031676615459e-321,"MP35.Hemato.related.I","High_Low",3,"Breast","IT"
"MP3..Cell.Cylce.HMG.rich","OK","uninormal",2.84631218569142e-319,4.3507914838426e-318,"MP3..Cell.Cylce.HMG.rich","Low_High",3,"Breast","IT"
"HALLMARK_ALLOGRAFT_REJECTION","OK","uninormal",1.58971056271525e-318,2.12623769235703e-317,"HALLMARK_ALLOGRAFT_REJECTION","High_Low",3,"Breast","IT"
"HALLMARK_INFLAMMATORY_RESPONSE","OK","uninormal",5.39381670360218e-307,6.41264874761592e-306,"HALLMARK_INFLAMMATORY_RESPONSE","High_Low",3,"Breast","IT"
"HALLMARK_GLYCOLYSIS","OK","uninormal",3.03166675724776e-303,3.2438834302551e-302,"HALLMARK_GLYCOLYSIS","Low_High",3,"Breast","IT"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","OK","uninormal",6.11685730714913e-301,5.95003392604507e-300,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","High_Low",3,"Breast","IT"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","OK","uninormal",1.82198571262135e-285,1.62460392708737e-284,"HALLMARK_OXIDATIVE_PHOSPHORYLATION","Low_High",3,"Breast","IT"
"HALLMARK_KRAS_SIGNALING_UP","OK","uninormal",3.89030804477393e-278,3.20202277531392e-277,"HALLMARK_KRAS_SIGNALING_UP","High_Low",3,"Breast","IT"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","OK","uninormal",1.69183184304453e-277,1.22787852482499e-276,"HALLMARK_INTERFERON_GAMMA_RESPONSE","High_Low",3,"Breast","IT"
"HALLMARK_KRAS_SIGNALING_DN","OK","uninormal",1.72132503480139e-277,1.22787852482499e-276,"HALLMARK_KRAS_SIGNALING_DN","High_Low",3,"Breast","IT"
"MP36.IG","OK","uninormal",2.24234369043492e-269,1.49956734297835e-268,"MP36.IG","High_Low",3,"Breast","IT"
"HALLMARK_IL2_STAT5_SIGNALING","OK","uninormal",4.48889716494359e-267,2.82536468617038e-266,"HALLMARK_IL2_STAT5_SIGNALING","High_Low",3,"Breast","IT"
"Ciliated","OK","uninormal",5.6883122568085e-266,3.38138561932505e-265,"Ciliated","Low_High",3,"Breast","IT"
"Interferon","OK","uninormal",6.55731769155493e-254,3.69280522629673e-253,"Interferon","High_Low",3,"Breast","IT"
"Oxphos","OK","uninormal",2.49532692198117e-238,1.33499990325992e-237,"Oxphos","Low_High",3,"Breast","IT"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","OK","uninormal",5.9901962912786e-229,3.05214763412767e-228,"HALLMARK_INTERFERON_ALPHA_RESPONSE","High_Low",3,"Breast","IT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","OK","uninormal",1.02230891433494e-224,4.97213881062902e-224,"HALLMARK_ESTROGEN_RESPONSE_EARLY","Low_High",3,"Breast","IT"
"MP20.MYC","OK","uninormal",1.4146267385296e-216,6.5810896096812e-216,"MP20.MYC","Low_High",3,"Breast","IT"
"MP38.Glutathione","OK","uninormal",3.91292874321847e-215,1.7445140646849e-214,"MP38.Glutathione","Low_High",3,"Breast","IT"
"HALLMARK_MITOTIC_SPINDLE","OK","uninormal",3.53327628809297e-214,1.51224225130379e-213,"HALLMARK_MITOTIC_SPINDLE","High_Low",3,"Breast","IT"
"MP19.Epithelial.Senescence","OK","uninormal",1.16445283293408e-209,4.79217127399793e-209,"MP19.Epithelial.Senescence","Low_High",3,"Breast","IT"
"MP22.Secreted.I","OK","uninormal",6.76431122843894e-208,2.6806714868258e-207,"MP22.Secreted.I","High_Low",3,"Breast","IT"
"MP17.Interferon.MHC.II..I.","OK","uninormal",5.47601957516741e-202,2.09262176622469e-201,"MP17.Interferon.MHC.II..I.","High_Low",3,"Breast","IT"
"MP15.EMT.IV","OK","uninormal",1.45316482998421e-200,5.36167713132105e-200,"MP15.EMT.IV","High_Low",3,"Breast","IT"
"HALLMARK_NOTCH_SIGNALING","OK","uninormal",8.84319462144972e-199,3.15407274831707e-198,"HALLMARK_NOTCH_SIGNALING","Low_High",3,"Breast","IT"
"MP1..Cell.Cycle...G2.M","OK","uninormal",1.09594621598437e-197,3.78278210033314e-197,"MP1..Cell.Cycle...G2.M","Low_High",3,"Breast","IT"
"HALLMARK_TGF_BETA_SIGNALING","OK","uninormal",2.542865332919e-197,8.5027059569479e-197,"HALLMARK_TGF_BETA_SIGNALING","High_Low",3,"Breast","IT"
"MP10.Protein.maturation","OK","uninormal",3.57102247629812e-185,1.15787698473909e-184,"MP10.Protein.maturation","Low_High",3,"Breast","IT"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","OK","uninormal",1.03693035257569e-179,3.26328081545878e-179,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","High_Low",3,"Breast","IT"
"MP30.PDAC.classical","OK","uninormal",4.71744826442044e-176,1.44219132655139e-175,"MP30.PDAC.classical","Low_High",3,"Breast","IT"
"HALLMARK_APICAL_JUNCTION","OK","uninormal",2.45704911375119e-171,7.3028959769827e-171,"HALLMARK_APICAL_JUNCTION","High_Low",3,"Breast","IT"
"Cycle","OK","uninormal",7.53509263895238e-169,2.17906733072407e-168,"Cycle","Low_High",3,"Breast","IT"
"MP24.Cilia","OK","uninormal",6.05616016607733e-165,1.70528720465862e-164,"MP24.Cilia","Low_High",3,"Breast","IT"
"HALLMARK_ADIPOGENESIS","OK","uninormal",9.52037973187162e-156,2.61200161874427e-155,"HALLMARK_ADIPOGENESIS","Low_Low",3,"Breast","IT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","OK","uninormal",1.24689510419154e-148,3.33544440371236e-148,"HALLMARK_ESTROGEN_RESPONSE_LATE","Low_High",3,"Breast","IT"
"Glandular","OK","uninormal",1.57898623231483e-146,4.12076894774846e-146,"Glandular","Low_High",3,"Breast","IT"
"HALLMARK_HEME_METABOLISM","OK","uninormal",2.25392038154458e-144,5.74213049583977e-144,"HALLMARK_HEME_METABOLISM","High_Low",3,"Breast","IT"
"Hypoxia","OK","uninormal",2.83153892000478e-143,7.0459224288491e-143,"Hypoxia","Low_High",3,"Breast","IT"
"Basal","OK","uninormal",5.50344695489666e-139,1.33833823675896e-138,"Basal","High_Low",3,"Breast","IT"
"MP40.PDAC.related","OK","uninormal",7.04192482869052e-129,1.67441323704419e-128,"MP40.PDAC.related","High_Low",3,"Breast","IT"
"MP6.Hypoxia","OK","uninormal",2.47455006006006e-128,5.75601861796579e-128,"MP6.Hypoxia","Low_High",3,"Breast","IT"
"HALLMARK_APOPTOSIS","OK","uninormal",5.53780644140208e-126,1.26073465793622e-125,"HALLMARK_APOPTOSIS","High_Low",3,"Breast","IT"
"MP13.EMT.II","OK","uninormal",4.32280098524798e-122,9.63624386294861e-122,"MP13.EMT.II","High_Low",3,"Breast","IT"
"MP16.MES..glioma.","OK","uninormal",1.72496265337777e-121,3.76675518186574e-121,"MP16.MES..glioma.","High_Low",3,"Breast","IT"
"HALLMARK_MTORC1_SIGNALING","OK","uninormal",3.65912522845805e-120,7.83052798890023e-120,"HALLMARK_MTORC1_SIGNALING","Low_High",3,"Breast","IT"
"HALLMARK_FATTY_ACID_METABOLISM","OK","uninormal",1.62720599987897e-118,3.41394199974608e-118,"HALLMARK_FATTY_ACID_METABOLISM","Low_Low",3,"Breast","IT"
"MP28.Oligo.normal","OK","uninormal",6.49220035539996e-115,1.33589507313038e-114,"MP28.Oligo.normal","High_High",3,"Breast","IT"
"MP37.Hemato.related.II","OK","uninormal",6.04137164609586e-110,1.21967314364577e-109,"MP37.Hemato.related.II","High_Low",3,"Breast","IT"
"HALLMARK_COMPLEMENT","OK","uninormal",1.23886366615401e-108,2.45478541256443e-108,"HALLMARK_COMPLEMENT","High_Low",3,"Breast","IT"
"MP18.Interferon.MHC.II..II.","OK","uninormal",9.7396534149692e-107,1.89480530073037e-106,"MP18.Interferon.MHC.II..II.","High_Low",3,"Breast","IT"
"HALLMARK_DNA_REPAIR","OK","uninormal",3.64322945323856e-104,6.96117056243796e-104,"HALLMARK_DNA_REPAIR","Low_Low",3,"Breast","IT"
"MP8.Proteasomal.degradation","OK","uninormal",3.04481745648933e-97,5.71570996218173e-97,"MP8.Proteasomal.degradation","Low_Low",3,"Breast","IT"
"HALLMARK_PANCREAS_BETA_CELLS","OK","uninormal",4.21673366945141e-93,7.77914659709139e-93,"HALLMARK_PANCREAS_BETA_CELLS","Low_High",3,"Breast","IT"
"MP14.EMT.III","OK","uninormal",6.24112508918669e-90,1.13186505854742e-89,"MP14.EMT.III","Low_Low",3,"Breast","IT"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","OK","uninormal",1.50289200175332e-85,2.68015740312676e-85,"HALLMARK_PI3K_AKT_MTOR_SIGNALING","High_Low",3,"Breast","IT"
"MP7.Stress..in.vitro.","OK","uninormal",6.3560630198053e-83,1.1149159723265e-82,"MP7.Stress..in.vitro.","Low_High",3,"Breast","IT"
"HALLMARK_XENOBIOTIC_METABOLISM","OK","uninormal",5.18244898198364e-81,8.94390388826209e-81,"HALLMARK_XENOBIOTIC_METABOLISM","Low_High",3,"Breast","IT"
"pEMT","OK","uninormal",4.32439618293916e-71,7.34460939007127e-71,"pEMT","Low_Low",3,"Breast","IT"
"Squamous","OK","uninormal",5.64129264182462e-67,9.43153613555054e-67,"Squamous","Low_High",3,"Breast","IT"
"HALLMARK_PROTEIN_SECRETION","OK","uninormal",3.89461125124623e-65,6.41112929051302e-65,"HALLMARK_PROTEIN_SECRETION","High_Low",3,"Breast","IT"
"HALLMARK_COAGULATION","OK","uninormal",1.36999201698888e-62,2.22104766390621e-62,"HALLMARK_COAGULATION","High_Low",3,"Breast","IT"
"HALLMARK_HEDGEHOG_SIGNALING","OK","uninormal",2.135586457433e-58,3.41056344694523e-58,"HALLMARK_HEDGEHOG_SIGNALING","High_Low",3,"Breast","IT"
"HALLMARK_UV_RESPONSE_DN","OK","uninormal",1.45168743250587e-57,2.28427287173717e-57,"HALLMARK_UV_RESPONSE_DN","High_Low",3,"Breast","IT"
"MP27.Oligo.Progenitor","OK","uninormal",4.78430648984423e-53,7.41914194801932e-53,"MP27.Oligo.Progenitor","High_Low",3,"Breast","IT"
"MP34.Platelet.activation","OK","uninormal",1.57775439151165e-51,2.4117102841678e-51,"MP34.Platelet.activation","High_Low",3,"Breast","IT"
"HALLMARK_MYC_TARGETS_V1","OK","uninormal",7.33046972011505e-50,1.10473276063706e-49,"HALLMARK_MYC_TARGETS_V1","Low_Low",3,"Breast","IT"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","OK","uninormal",2.47522348743271e-48,3.67845712715694e-48,"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Low_Low",3,"Breast","IT"
"MP11.Translation.initiation","OK","uninormal",1.44524918810489e-47,2.11837894694827e-47,"MP11.Translation.initiation","Low_Low",3,"Breast","IT"
"MP39.Metal.response","OK","uninormal",6.99437652945553e-44,1.01134903871857e-43,"MP39.Metal.response","High_Low",3,"Breast","IT"
"MP25.Astrocytes","OK","uninormal",8.92431221098272e-44,1.27320187543353e-43,"MP25.Astrocytes","High_Low",3,"Breast","IT"
"MP12.EMT.I","OK","uninormal",6.27675749250349e-42,8.83701383812992e-42,"MP12.EMT.I","High_Low",3,"Breast","IT"
"NPC","OK","uninormal",1.6761609683044e-41,2.3292106962152e-41,"NPC","High_Low",3,"Breast","IT"
"HALLMARK_PEROXISOME","OK","uninormal",4.12202906917652e-39,5.65457833848574e-39,"HALLMARK_PEROXISOME","Low_High",3,"Breast","IT"
"Alveolar","OK","uninormal",5.08227109988156e-37,6.79753759609159e-37,"Alveolar","High_Low",3,"Breast","IT"
"HALLMARK_APICAL_SURFACE","OK","uninormal",5.03653519419748e-37,6.79753759609159e-37,"HALLMARK_APICAL_SURFACE","High_Low",3,"Breast","IT"
"HALLMARK_HYPOXIA","OK","uninormal",8.39402016457659e-32,1.10883970075271e-31,"HALLMARK_HYPOXIA","High_Low",3,"Breast","IT"
"HALLMARK_UV_RESPONSE_UP","OK","uninormal",3.21832871896736e-30,4.19952649914033e-30,"HALLMARK_UV_RESPONSE_UP","High_Low",3,"Breast","IT"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","OK","uninormal",8.02272128805065e-30,1.03425443111014e-29,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","High_Low",3,"Breast","IT"
"HALLMARK_BILE_ACID_METABOLISM","OK","uninormal",6.50476431115194e-24,8.28583072968164e-24,"HALLMARK_BILE_ACID_METABOLISM","High_Low",3,"Breast","IT"
"MP23.Secreted.II","OK","uninormal",7.8655896043591e-22,9.90138926666381e-22,"MP23.Secreted.II","Low_High",3,"Breast","IT"
"HALLMARK_P53_PATHWAY","OK","uninormal",3.74674400268963e-19,4.66164660799756e-19,"HALLMARK_P53_PATHWAY","High_Low",3,"Breast","IT"
"Mesenchymal","OK","uninormal",9.62395077939447e-19,1.18363532574162e-18,"Mesenchymal","High_Low",3,"Breast","IT"
"OPC","OK","uninormal",1.38442542805563e-18,1.68333546365855e-18,"OPC","High_Low",3,"Breast","IT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","OK","uninormal",5.41391207295697e-17,6.50886058209433e-17,"HALLMARK_CHOLESTEROL_HOMEOSTASIS","Low_High",3,"Breast","IT"
"MP26.NPC.Glioma","OK","uninormal",5.84657887328207e-14,6.95093266045757e-14,"MP26.NPC.Glioma","Low_High",3,"Breast","IT"
"HALLMARK_ANGIOGENESIS","OK","uninormal",1.01336491891668e-13,1.19153897059433e-13,"HALLMARK_ANGIOGENESIS","High_Low",3,"Breast","IT"
"HALLMARK_E2F_TARGETS","OK","uninormal",8.61877562100707e-12,1.0024010776606e-11,"HALLMARK_E2F_TARGETS","High_Low",3,"Breast","IT"
"MP32.Skin.pigmentation","OK","uninormal",8.37957244156076e-11,9.64101345426883e-11,"MP32.Skin.pigmentation","High_High",3,"Breast","IT"
"HALLMARK_G2M_CHECKPOINT","OK","uninormal",9.5615959900774e-11,1.08839443716838e-10,"HALLMARK_G2M_CHECKPOINT","High_Low",3,"Breast","IT"
"Stress","OK","uninormal",1.14836684404613e-10,1.29342370855721e-10,"Stress","Low_Low",3,"Breast","IT"
"MP9.Unfolded.protein.response","OK","uninormal",1.71376069058773e-08,1.91012910305091e-08,"MP9.Unfolded.protein.response","High_Low",3,"Breast","IT"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","OK","uninormal",3.66506281834472e-08,4.04290434600912e-08,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","High_Low",3,"Breast","IT"
