ST_ID,sample_key,Sample.Name,Sample.Description,TLS_ID,Cluster,Location
Li1,cHC-1,cHC-1L,Leading-edge,Li1_10,Primary Mature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_13,Immature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_16,Immature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_18,Immature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_27,Immature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_34,Immature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_36,Secondary Mature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_37,Secondary Mature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_38,Secondary Mature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_41,Secondary Mature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_42,Secondary Mature,Normal
Li1,cHC-1,cHC-1L,Leading-edge,Li1_43,Secondary Mature,Normal
Li4,HCC-1,HCC-1L,Leading-edge,Li4_19,Primary Mature,Normal
Li4,HCC-1,HCC-1L,Leading-edge,Li4_22,Secondary Mature,Tumor_region
Li4,HCC-1,HCC-1L,Leading-edge,Li4_31,Primary Mature,Normal
Li4,HCC-1,HCC-1L,Leading-edge,Li4_32,Primary Mature,Normal
Li4,HCC-1,HCC-1L,Leading-edge,Li4_33,Primary Mature,Normal
Li4,HCC-1,HCC-1L,Leading-edge,Li4_46,Primary Mature,Normal
Li4,HCC-1,HCC-1L,Leading-edge,Li4_47,Primary Mature,Normal
Li5,HCC-1,HCC-1N,Normal,Li5_1,Primary Mature,Normal
Li5,HCC-1,HCC-1N,Normal,Li5_2,Primary Mature,Normal
Li5,HCC-1,HCC-1N,Normal,Li5_5,Primary Mature,Normal
Li5,HCC-1,HCC-1N,Normal,Li5_10,Secondary Mature,Normal
Li6,HCC-1,HCC-1T,Tumor,Li6_7,Secondary Mature,Tumor_region
Li7,HCC-2,HCC-2L,Leading-edge,Li7_9,Immature,Normal
Li7,HCC-2,HCC-2L,Leading-edge,Li7_18,Immature,Normal
Li7,HCC-2,HCC-2L,Leading-edge,Li7_28,Immature,Normal
Li7,HCC-2,HCC-2L,Leading-edge,Li7_56,Secondary Mature,Normal
Li7,HCC-2,HCC-2L,Leading-edge,Li7_57,Primary Mature,Normal
Li7,HCC-2,HCC-2L,Leading-edge,Li7_58,Immature,Normal
Li7,HCC-2,HCC-2L,Leading-edge,Li7_59,Primary Mature,Normal
